"oid","name","code","price","sale-price","orderable","ship-weight","taxable"
"kichwedrbge","Kitty Chen Wedding Dress - <br> Gemma","KCH2038","1789.00 ",,"Yes",,"Yes"
"kichwedrbgr","Kitty Chen Wedding Dress - <br> Grazia","KCH2021","1969.00 ",,"Yes",,"Yes"
"kichwedrbgr1","Kitty Chen Wedding Dress - <br> Gracie","KCGRACIE","1947.00 ",,"Yes",,"Yes"
"kichwedrbha","Kitty Chen Wedding Dress - <br> Hannah","KCH2055","1339.00 ",,"Yes",,"Yes"
"kichwedrbho","Kitty Chen Wedding Dress - <br> Holly","KCH2019","1999.00 ",,"Yes",,"Yes"
"kichwedrbis","Kitty Chen Wedding Dress - <br> Isadora","KCISADORA","1815.00 ",,"Yes",,"Yes"
"kichwedrbivy","Kitty Chen Wedding Dress - <br> Ivy","KCIVY","1683.00 ",,"Yes",,"Yes"
"kichwedrbja","Kitty Chen Wedding Dress - <br> Janessa","KCJANESSA","1925.00 ",,"Yes",,"Yes"
"kichwedrbje","Kitty Chen Wedding Dress - <br> Jessica","KCJESSICA","1529.00 ",,"Yes",,"Yes"
"kichwedrbka","Kitty Chen Wedding Dress - <br> Karlee","KCH2017","1946.00 ",,"Yes",,"Yes"
"kichwedrbka1","Kitty Chen Wedding Dress - <br> Karen","KCKAREN","1749.00 ",,"Yes",,"Yes"
"kichwedrbka2","Kitty Chen Wedding Dress - <br>  Kayleen","KCKayleen","1969.00 ",,"Yes",,"Yes"
"kichwedrbkat","Kitty Chen Wedding Dress - <br>  Kat","KCKat","1789.00 ",,"Yes",,"Yes"
"kichwedrbkat1","Kitty Chen Wedding Dress - <br> Kat Veil","newitem537216606","439.00 ",,"Yes",,"Yes"
"kichwedrbke","Kitty Chen Wedding Dress - <br> Kenya","KCKENYA","1683.00 ",,"Yes",,"Yes"
"kichwedrbke1","Kitty Chen Wedding Dress - <br> Keisha","KCKeisha","1834.00 ",,"Yes",,"Yes"
"kichwedrbky1","Kitty Chen Wedding Dress - <br> Kyra","KCKYRA","1903.00 ",,"Yes",,"Yes"
"kichwedrbla","Kitty Chen Wedding Dress - <br> Lamise","KCLAMISE","1903.00 ",,"Yes",,"Yes"
"kichwedrble","Kitty Chen Wedding Dress - <br> Leandra","KCH2054","1744.00 ",,"Yes",,"Yes"
"kichwedrble1","Kitty Chen Wedding Dress - <br> Lenora","KCH2036","1946.00 ",,"Yes",,"Yes"
"kichwedrble2","Kitty Chen Wedding Dress - <br> Leilani","KCLEILANI","1749.00 ",,"Yes",,"Yes"
"kichwedrble3","Kitty Chen Wedding Dress - <br>  Lena","KCLENA","1837.00 ",,"Yes",,"Yes"
"kichwedrbli","Kitty Chen Wedding Dress - <br> Lindsey","KCLindsey","1766.00 ",,"Yes",,"Yes"
"kichwedrblu","Kitty Chen Wedding Dress - <br> Lulu","KCLULU","1815.00 ",,"Yes",,"Yes"
"kichwedrblu1","Kitty Chen Wedding Dress - <br>SAMPLE Lulu","SAMPLELULU","1724.00 ",,"Yes",,"Yes"
"kichwedrbma","Kitty Chen Wedding Dress - <br> Margo","KCH2024","1999.00 ",,"Yes",,"Yes"
"kichwedrbma1","Kitty Chen Wedding Dress - <br> Malaysia","KCMALAYSIA","1903.00 ",,"Yes",,"Yes"
"kichwedrbma2","Kitty Chen Wedding Dress - <br> Mariana","KCMARIANA","1859.00 ",,"Yes",,"Yes"
"kichwedrbma3","Kitty Chen Wedding Dress - <br> Marisol","KCMARISOL","1661.00 ",,"Yes",,"Yes"
"kichwedrbmc","Kitty Chen Wedding Dress - <br> Mckenna ","KCMckenna","1316.00 ",,"Yes",,"Yes"
"kichwedrbmeg","Kitty Chen Wedding Dress - <br> Meg","KCMeg","1766.00 ",,"Yes",,"Yes"
"kichwedrbmi","Kitty Chen Wedding Dress - <br> Miley","KCH2035","1999.00 ",,"Yes",,"Yes"
"kichwedrbmo","Kitty Chen Wedding Dress - <br> Monair","KCH2034","1946.00 ",,"Yes",,"Yes"
